"","kon_moment1","kon_moment2","kon_moment3","kon_fano","koff_moment1","koff_moment2","koff_moment3","koff_fano","kb_moment1","kb_moment2","kb_moment3","kb_fano","theta_moment1","theta_moment2","theta_moment3","theta_fano"
"gene1",2.71776370297516,30.7970811519453,416.343656013396,0.425097752554393,0.757046259014515,11.5857397631203,185.057853059334,2.6537409780758,0.0650381304367897,1.21024543275894,22.1337552375189,0.409179783389391,3.76339585939078,37.4841366124201,480.264572786382,3.76339585272945
"gene2",0.975769781086377,6.97849131370276,65.114638321262,1.74200434521765,0.102005026647589,1.02234345211727,11.4957996544263,1.28838594903868,0.0151018791916258,0.169632496938021,2.06440965655474,0.259784886935677,1.52251754814703,9.76624630721901,86.6287684786471,1.52251754315103
"gene3",0.522320253715236,8.08059127166416,115.471948447521,0.177629999598139,1.26742526695978,22.6752437271216,356.780247443567,1.30617977767145,0.266438338059061,5.46789841848749,94.9649194126323,0.474613006673508,8.81850515721538,95.0065093263674,1152.72418781842,8.81850516165628
"gene4",0.715218915203764,14.980243889795,281.01581960982,0.358080178841647,1.09475668530479,25.9285266679399,530.936235918489,1.15308438353168,0.25688632554477,6.67109247842745,146.663262512448,0.388977667853396,11.1894011745051,151.127560883424,2301.76415357164,11.1894011389779
"gene5",21.1501950087012,367.087895796203,6846.05252217807,19.9647761967015,23.5110444890552,466.509577563556,9308.83489445478,10.3478875956853,0.244874875932055,8.29835457238914,224.556922603369,0.589316186960787,9.22350376519887,157.534658171699,2923.24247539,9.22350375631709
"gene6",1.19891994998511,35.5155108877625,923.569273254543,0.32515300674163,1.75557723025577,58.6444841133016,1666.21632160968,1.25133261974497,0.311027950061771,11.3386789735159,345.53295790829,0.332489040744122,15.8905391600683,297.7237545565,6217.88693479175,15.8905391600683
"gene7",1.23842776034166,37.1758227402097,975.003340499825,0.0991447812737078,2.61917376676024,90.1329173075283,2597.32089489262,1.41753668359001,0.33685397582417,13.1518063994918,414.610535699467,0.346002035911397,16.9653612758225,334.678990441262,7240.12830232823,16.9653612758225
"gene8",1.23413594899091,12.8500811769072,160.905557748947,1.75190898232813,0.247721000379286,3.45079122610059,51.3945471425359,1.39173256918923,0.0391051691028821,0.604569301287938,9.73639842527518,0.291102546512434,3.47812963652494,29.1638071914235,330.416878853157,3.47812963319427
"gene9",1.88426680924891,23.8493242932236,348.368667459908,1.24705268333969,0.59978883415468,10.0514293066567,173.508644252252,2.12007128297387,0.0703000813118138,1.36445320819689,26.286287777566,0.379023195051786,4.82303939453033,49.6036666497446,661.447658671932,4.82303937232587
"gene10",0.61275176044262,12.7006077121905,233.418388688733,0.391732886129148,0.87200531240228,20.2629716028468,403.679007376923,1.02896823506171,0.229594991907334,5.79859133154059,122.869532788172,0.37075533754205,10.9060416431106,143.0566834415,2112.1689053416,10.9060416164652
"gene11",0.444494996365563,3.98830262149374,38.8629604941571,1.00388555246411,0.181909620700083,1.99705397108119,22.0888875901437,0.914444058253139,0.0535773603260736,0.64398782306796,7.6138880444887,0.346352768687552,3.7869030855564,25.0390709943815,210.767441259918,3.78690309332796
"gene12",0.923112102313439,18.4338078668134,339.693632440685,0.529574446517245,0.905946544449421,20.7001239260762,419.62170143961,1.10732361946475,0.208239887555806,5.17605833749712,112.084616148422,0.348655060378178,10.2253724687529,132.741578227069,1992.42273765776,10.2253724776347
"gene13",0.533534221247578,8.56863486831116,127.202247881542,0.232978996095312,1.20744773735026,22.4165093953843,366.995456602126,1.40597003372989,0.256578385204875,5.43594985913387,98.2027967211252,0.494137282203155,9.07960527651852,100.917914309662,1266.82789357346,9.07960527207763
"gene14",1.66329378714636,40.2753606465467,904.129406080756,0.00224041230012517,2.83277594270714,81.5005715537609,2047.89061626798,1.85641230388001,0.291719164380311,9.82832276008594,276.729019788036,0.398048705108067,13.9194402848375,240.59900496809,4662.34576833813,13.9194402848375
"gene15",1.26342767359233,47.4596600952282,1537.38967128447,0.217510045530389,5.58887517598805,242.453296550593,8676.43519086414,1.29231761292203,0.473799826039567,24.0867831280411,968.290005403105,0.354527376345004,23.1392135496833,592.966637782411,16205.3375061078,23.1392135852104
"gene16",2.49210081904039,42.3006078875687,784.130513693526,1.11223156906703,0.955992800477645,20.9471805590056,451.7702461726,2.27300770205829,0.0891250362400342,2.23246225061757,52.9711053331994,0.321275024361967,7.23472295405259,96.0505390423805,1601.97857439925,7.23472295405259
"gene17",0.873843752913217,18.9358327418176,371.596629520354,0.476783625913413,0.970074935935372,23.785560046008,510.699151163863,1.07325057285834,0.233837864627162,6.20964797803936,142.154797231342,0.35239258622255,11.2026827725487,154.761621473654,2444.5805479445,11.202682799194
"gene18",2.29549057095824,79.7833922661084,2505.52935540327,0.72341160617384,7.31778339257971,302.883437939272,10664.0686317405,1.29406434012935,0.447161436767374,22.4831882178478,911.992447072407,0.373899116112852,22.0797762295888,563.532682349432,15538.3824494493,22.0797761940617
"gene19",3.79767007174792,73.6984358695736,1458.35017519858,3.19000060144958,19.5647274203736,452.850015904005,9854.71959211282,7.65476491082495,0.432226325841611,15.3478691800046,432.423953498073,0.47200783725998,15.0198231985144,271.447218835874,5242.13444350607,15.0198231985144
"gene20",2.16973421895972,38.498067382875,715.053441808777,0.884559412384078,1.09204372655824,24.3786620757191,520.565126862493,2.07740367130782,0.112810014663012,2.87458050252098,67.4312923365505,0.330831202433046,8.21204875656179,110.279733860352,1815.0125788452,8.21204874768
"gene21",1.29253473701851,36.0598937731993,895.151792974502,0.0286898860224483,3.23513404509868,104.858044380762,2882.87106741336,1.55675920154863,0.365619747810797,13.7056423454851,419.303282797046,0.382829803413642,16.388052852534,313.523475483635,6576.03831314191,16.3880528880611
"gene22",2.83920206456401,82.8185028467487,2266.18964006775,0.617407156511263,4.88356269201518,172.621151932617,5332.15001269127,2.11502412028608,0.310219121502087,13.3410773628384,472.075516881887,0.38452057538052,17.3128757907648,376.3552516034,9105.16470867151,17.3128758262919
"gene23",2.49707646560182,60.999312978538,1422.32028792932,0.286435088980852,3.31535598085964,98.8000428492342,2602.82261024258,2.17022030568614,0.235115411584275,8.52762610747959,255.55246793374,0.371706647683823,13.8764856671969,253.188296284179,5223.07424034807,13.8764856316698
"gene24",1.81755632766567,30.1346392816981,532.719601551435,1.21443797240772,0.830918631677946,17.4230523342089,356.750803689465,2.04192312835971,0.101213388781218,2.40580821042613,54.1859253644361,0.364316949941212,7.41062115228175,92.5444938459918,1442.56275916632,7.41062116560443
"gene25",2.16284224308083,39.6051646589513,766.329782209141,1.13261339862447,0.981268009070391,22.6407626513492,507.193385601568,2.02629628631712,0.11434922342346,2.97410501559625,73.0681631466723,0.344808626095983,8.24518141762098,112.173900603807,1901.29544535012,8.2451814087392
"gene26",1.2890362643958,28.4295124686196,586.904584451986,0.765377397016209,0.875186261239946,22.3537659849171,510.208990363026,1.15559471325355,0.163614428672076,4.51707578008609,109.264144612098,0.286490067225031,10.9380073709531,157.583993711796,2661.68818598089,10.9380073709531
